 Price ,Bedrooms,Bathrooms,FSF,Age,Year_Built,Style
114900,2,1,947,58,1939,1.5 Story
143114,2,2,1152,56,1941,1.5 Story
103000,2,1,1164,42,1955,1.5 Story
105000,3,1,1225,48,1949,1.5 Story
120000,3,2,1292,58,1939,1.5 Story
107500,3,1,1318,49,1948,1.5 Story
112500,3,3,1406,43,1954,1.5 Story
215000,4,3,1500,63,1934,1.5 Story
100000,2,2,1500,56,1941,1.5 Story
132900,3,2,1502,58,1939,1.5 Story
143000,3,2,1518,56,1941,1.5 Story
120000,2,1,1546,43,1954,1.5 Story
114000,3,2,1564,57,1940,1.5 Story
114000,3,2,1565,48,1949,1.5 Story
135000,3,2,1576,57,1940,1.5 Story
166500,3,1,1584,56,1941,1.5 Story
144900,3,2,1599,57,1940,1.5 Story
200000,4,1,1632,52,1945,1.5 Story
118900,3,2,1650,47,1950,1.5 Story
108000,3,3,1650,51,1946,1.5 Story
125000,3,1,1660,59,1938,1.5 Story
155000,3,2,1665,49,1948,1.5 Story
149700,3,1,1689,61,1936,1.5 Story
126000,3,2,1700,49,1948,1.5 Story
117000,3,2,1789,49,1948,1.5 Story
132000,3,3,1792,59,1938,1.5 Story
144900,3,2,1801,56,1941,1.5 Story
118700,4,2,1801,47,1950,1.5 Story
135000,3,2,1850,50,1947,1.5 Story
160000,3,2,1864,57,1940,1.5 Story
142500,3,2,1888,56,1941,1.5 Story
123500,4,2,1915,41,1956,1.5 Story
121000,4,2,1940,48,1949,1.5 Story
139900,4,2,1984,49,1948,1.5 Story
112500,3,3,1995,46,1951,1.5 Story
138500,4,2,2010,56,1941,1.5 Story
150777,4,2,2024,56,1941,1.5 Story
110000,5,3,2077,42,1955,1.5 Story
149000,3,1,2108,56,1941,1.5 Story
124900,4,2,2146,58,1939,1.5 Story
107000,5,3,2343,44,1953,1.5 Story
168000,3,2,2350,56,1941,1.5 Story
132000,3,3,2382,49,1948,1.5 Story
140000,3,2,2677,56,1941,1.5 Story
122900,3,2,1594,43,1954,3 Lvl Split
102900,3,2,1700,6,1991,3 Lvl Split
114000,5,3,2350,20,1977,3 Lvl Split
215000,3,1,1104,1,1996,4 Lvl Split
188400,3,2,1394,0,1997,4 Lvl Split
121000,3,2,1533,35,1962,4 Lvl Split
115000,3,3,1665,29,1968,4 Lvl Split
135000,3,2,1984,38,1959,4 Lvl Split
137500,4,3,2065,41,1956,4 Lvl Split
168335,4,3,2231,36,1961,4 Lvl Split
155000,4,3,2250,33,1964,4 Lvl Split
150000,4,2,2300,31,1966,4 Lvl Split
182100,3,2,2352,22,1975,4 Lvl Split
174900,4,3,2520,11,1986,4 Lvl Split
194900,4,3,2551,28,1969,4 Lvl Split
127900,3,2,2000,22,1975,Other
250000,3,3,3000,47,1950,Other
111050,2,1,924,45,1952,Rambler
105900,3,1,981,42,1955,Rambler
149516,3,2,1000,0,1997,Rambler
111300,3,1,1008,25,1972,Rambler
110300,3,1,1021,29,1968,Rambler
103500,3,2,1085,43,1954,Rambler
112000,3,1,1104,50,1947,Rambler
125500,3,1,1156,41,1956,Rambler
119000,3,2,1208,42,1955,Rambler
103900,3,2,1227,43,1954,Rambler
118000,3,1,1232,39,1958,Rambler
104900,2,2,1262,42,1955,Rambler
110000,2,2,1276,41,1956,Rambler
102500,3,2,1296,37,1960,Rambler
100900,3,2,1320,41,1956,Rambler
104300,3,1,1356,39,1958,Rambler
125900,3,2,1364,29,1968,Rambler
118000,3,2,1370,35,1962,Rambler
132000,3,2,1370,26,1971,Rambler
101500,2,1,1393,34,1963,Rambler
116000,3,2,1400,33,1964,Rambler
104900,3,1,1415,44,1953,Rambler
120000,4,2,1444,44,1953,Rambler
140300,3,3,1450,37,1960,Rambler
103500,3,2,1450,43,1954,Rambler
102900,3,2,1452,37,1960,Rambler
135700,3,2,1452,37,1960,Rambler
110000,3,2,1456,43,1954,Rambler
113500,3,1,1458,33,1964,Rambler
120900,3,2,1480,42,1955,Rambler
112000,2,2,1488,35,1962,Rambler
108900,3,2,1493,43,1954,Rambler
119900,2,1,1496,60,1937,Rambler
114900,2,2,1497,45,1952,Rambler
124000,3,2,1500,42,1955,Rambler
115000,3,2,1500,42,1955,Rambler
117900,3,2,1522,39,1958,Rambler
113000,3,2,1524,30,1967,Rambler
116200,3,2,1524,40,1957,Rambler
125900,4,2,1527,56,1941,Rambler
114900,2,2,1530,33,1964,Rambler
106000,3,2,1536,38,1959,Rambler
113000,3,1,1560,43,1954,Rambler
122500,3,2,1561,43,1954,Rambler
101800,3,2,1565,43,1954,Rambler
133900,3,2,1584,35,1962,Rambler
130000,3,2,1594,31,1966,Rambler
111000,3,2,1596,44,1953,Rambler
111900,2,2,1600,46,1951,Rambler
114900,3,2,1600,37,1960,Rambler
120000,3,2,1600,33,1964,Rambler
119900,2,2,1600,48,1949,Rambler
109000,3,2,1600,42,1955,Rambler
109900,2,1,1607,59,1938,Rambler
124000,3,2,1608,43,1954,Rambler
117900,3,2,1614,42,1955,Rambler
120000,3,2,1649,36,1961,Rambler
109000,3,2,1650,31,1966,Rambler
105100,3,2,1674,42,1955,Rambler
103800,3,2,1690,42,1955,Rambler
117000,3,2,1700,59,1938,Rambler
125000,4,2,1700,31,1966,Rambler
117500,3,2,1713,35,1962,Rambler
108000,2,2,1714,56,1941,Rambler
134900,4,2,1715,61,1936,Rambler
110500,3,2,1715,47,1950,Rambler
112500,3,2,1720,47,1950,Rambler
119775,3,2,1720,43,1954,Rambler
126650,3,2,1723,37,1960,Rambler
120000,4,2,1736,43,1954,Rambler
174900,3,3,1736,36,1961,Rambler
119000,2,2,1750,44,1953,Rambler
118000,3,2,1792,47,1950,Rambler
113500,2,2,1794,33,1964,Rambler
131000,3,2,1796,40,1957,Rambler
135500,3,2,1797,49,1948,Rambler
166000,3,3,1799,41,1956,Rambler
113900,2,2,1800,45,1952,Rambler
107500,3,2,1804,44,1953,Rambler
119500,4,2,1824,41,1956,Rambler
160000,3,3,1840,24,1973,Rambler
124550,3,2,1893,37,1960,Rambler
129900,3,3,1898,41,1956,Rambler
118000,3,1,1906,37,1960,Rambler
107900,3,2,1908,43,1954,Rambler
131500,3,2,1936,43,1954,Rambler
125000,3,2,1936,43,1954,Rambler
125300,3,2,1938,33,1964,Rambler
149500,4,2,1941,43,1954,Rambler
161500,4,3,1964,34,1963,Rambler
140000,3,2,1965,44,1953,Rambler
156900,3,2,1977,31,1966,Rambler
108500,3,2,1978,39,1958,Rambler
129000,3,2,1990,40,1957,Rambler
138000,3,2,1994,29,1968,Rambler
156000,4,2,2000,41,1956,Rambler
159900,3,3,2012,40,1957,Rambler
128000,4,2,2016,42,1955,Rambler
159900,4,2,2016,29,1968,Rambler
120500,3,2,2018,25,1972,Rambler
127000,3,2,2030,31,1966,Rambler
132900,3,3,2031,44,1953,Rambler
149900,3,3,2069,39,1958,Rambler
122000,3,2,2070,41,1956,Rambler
114000,3,1,2082,38,1959,Rambler
156000,3,2,2090,44,1953,Rambler
133500,3,3,2098,45,1952,Rambler
150000,4,3,2100,41,1956,Rambler
135000,3,3,2118,40,1957,Rambler
136500,3,2,2118,42,1955,Rambler
154900,3,2,2146,42,1955,Rambler
135000,3,2,2175,28,1969,Rambler
149900,3,2,2213,40,1957,Rambler
175000,4,3,2225,30,1967,Rambler
162000,3,2,2278,39,1958,Rambler
111000,3,2,2371,44,1953,Rambler
235000,3,2,2400,45,1952,Rambler
187500,3,2,2400,43,1954,Rambler
195000,4,3,2434,14,1983,Rambler
165000,4,3,2442,42,1955,Rambler
159000,4,3,2442,34,1963,Rambler
189900,3,3,2461,40,1957,Rambler
164415,3,5,2522,49,1948,Rambler
123000,4,2,2525,41,1956,Rambler
118900,3,2,2536,31,1966,Rambler
144000,3,2,2575,43,1954,Rambler
225000,4,3,2600,24,1973,Rambler
156000,4,2,2627,42,1955,Rambler
162000,3,2,2702,42,1955,Rambler
145900,4,3,2761,31,1966,Rambler
185000,3,3,2830,45,1952,Rambler
204000,4,3,2920,40,1957,Rambler
176000,4,3,3000,31,1966,Rambler
123000,3,2,3050,43,1954,Rambler
231000,2,4,3057,48,1949,Rambler
360000,4,3,3092,1,1996,Rambler
232500,5,3,3476,13,1984,Rambler
418000,4,3,3566,1,1996,Rambler
388900,4,2,3868,9,1988,Rambler
145900,3,2,1326,6,1991,Split
114000,3,1,1364,49,1948,Split
132000,4,2,1476,34,1963,Split
125000,3,2,1508,20,1977,Split
118200,4,2,1700,31,1966,Split
134000,3,2,1700,23,1974,Split
122000,3,2,1790,31,1966,Split
155000,3,2,1800,20,1977,Split
120000,4,2,1801,30,1967,Split
137900,3,2,1823,34,1963,Split
135900,4,2,1840,32,1965,Split
147000,4,2,1881,32,1965,Split
142400,4,2,1892,32,1965,Split
128000,4,2,1900,30,1967,Split
117310,4,2,2000,21,1976,Split
102900,4,2,2000,29,1968,Split
131500,4,2,2100,31,1966,Split
149900,5,3,2130,22,1975,Split
167900,4,2,2150,20,1977,Split
160000,4,2,2156,14,1983,Split
191900,4,3,2344,14,1983,Split
154900,6,4,2400,0,1997,Split
229715,4,2,2440,30,1967,Split
300000,4,5,3442,34,1963,Split
110500,3,1,1079,74,1923,Two-Story
143000,2,2,1590,20,1977,Two-Story
146000,3,3,1594,51,1946,Two-Story
110000,4,2,1634,69,1928,Two-Story
110000,5,2,1850,31,1966,Two-Story
116900,3,2,1932,49,1948,Two-Story
190000,4,3,1968,14,1983,Two-Story
204900,3,3,1970,8,1989,Two-Story
192000,4,3,2036,17,1980,Two-Story
165000,3,2,2039,45,1952,Two-Story
170000,4,3,2059,10,1987,Two-Story
314070,4,3,2080,0,1997,Two-Story
210250,4,3,2083,17,1980,Two-Story
231000,4,3,2100,3,1994,Two-Story
212500,4,4,2112,20,1977,Two-Story
145000,3,2,2113,56,1941,Two-Story
156500,3,3,2210,41,1956,Two-Story
231200,3,2,2252,67,1930,Two-Story
134900,4,3,2256,36,1961,Two-Story
169000,3,2,2260,60,1937,Two-Story
212000,5,3,2288,30,1967,Two-Story
248500,4,3,2322,0,1997,Two-Story
274865,4,1,2364,1,1996,Two-Story
298000,4,3,2373,1,1996,Two-Story
270540,4,3,2408,0,1997,Two-Story
264631,4,3,2411,0,1997,Two-Story
148000,4,3,2440,0,1997,Two-Story
209000,4,3,2577,30,1967,Two-Story
176000,4,4,2600,6,1991,Two-Story
348600,4,3,2799,1,1996,Two-Story
418800,4,3,2825,1,1996,Two-Story
205000,4,3,2900,24,1973,Two-Story
387582,3,4,2940,0,1997,Two-Story
374000,4,2,2979,1,1996,Two-Story
467000,4,4,3061,1,1996,Two-Story
225000,5,3,3366,25,1972,Two-Story
279900,4,4,3490,5,1992,Two-Story
366830,4,4,3581,0,1997,Two-Story
